,PIece_ID,Phrase_number,Phrase_start,Phrase_stop,Rhyme_ID,Phrase_text,piece_id,Column10,Column11,Column12
664,DC0406,8,26,38,c,"L'hyvert je brusle, et l'æsté meurs de froid.",D'amour me plainctz et du mal que je sens,,,
665,DC0407,1,1,6,a,"Plaisir, prouffit, honneur, advancement,","Plaisir, prouffit, honneur, advancement",,,
666,DC0407,2,6,10,b,"Maintz gens ont eu pour à l'amour attaindre,","Plaisir, prouffit, honneur, advancement",,,
667,DC0407,3,10,17,a,"Qui rend aux siens un tel contentement,","Plaisir, prouffit, honneur, advancement",,,
668,DC0407,4,16,21,b,Que dire peulx amitié trop plus moindre,"Plaisir, prouffit, honneur, advancement",,,
669,DC0407,5,20,26,b,"Que n'est amour, lequel si voulois paindre","Plaisir, prouffit, honneur, advancement",,,
670,DC0407,6,25,31,c,"En une fleur, et que mortelle chose","Plaisir, prouffit, honneur, advancement",,,
671,DC0407,7,31,35,b,"Feust un rosier, lors dirois sans nul craindre,","Plaisir, prouffit, honneur, advancement",,,
672,DC0407,8,34,44,c,Amour se doibt figurer une rose.,"Plaisir, prouffit, honneur, advancement",,,
673,DC0408,1,1,6,a,"Amour se doibt figurer une rose,",Amour se doibt figurer une rose,,,
674,DC0408,2,6,11,b,"Dont pour un temps l’odeur on peult tirer,",Amour se doibt figurer une rose,,,
675,DC0408,3,1,6,a,"Mais amytié est trop plus grande chose,",Amour se doibt figurer une rose,,,
676,DC0408,4,6,11,b,Qui bien au vray la veult considerer ,Amour se doibt figurer une rose,,,
677,DC0408,5,12,18,b,Car amour n’est qu’un desir d’aspirer,Amour se doibt figurer une rose,,,
678,DC0408,6,16,20,c,"A quelque fin, pour un contentement ",Amour se doibt figurer une rose,,,
679,DC0408,7,20,25,b,"Mais d’amytié l’on en peult retirer,",Amour se doibt figurer une rose,,,
680,DC0408,8,25,38,c,"Plaisir, prouffit, honneur, advancement.",Amour se doibt figurer une rose,,,
681,DC0409,1,1,7,a,"Jamais amour n’aura ceste puissance,",Jamais amour n'aura ceste puissance,,,
682,DC0409,2,7,14,b,"De commander à ce qui n’est plus sien,",Jamais amour n'aura ceste puissance,,,
683,DC0409,3,14,21,a,"Puis que la mort par sa grande inconstance,",Jamais amour n'aura ceste puissance,,,
684,DC0409,4,20,28,b,"A de plusieurs l’espoir pris, et mon bien.",Jamais amour n'aura ceste puissance,,,
685,DC0409,5,28,33,b,"Contente suis désormais n’estre rien,",Jamais amour n'aura ceste puissance,,,
686,DC0409,6,33,38,c,"Pour ne servir aulx amoureux d’exemple,",Jamais amour n'aura ceste puissance,,,
687,DC0409,7,38,44,b,"Partz donc amour, et le cœur qui n’est tien,",Jamais amour n'aura ceste puissance,,,
688,DC0409,8,44,65,c,"Souffre languir, et mourir tout ensemble.",Jamais amour n'aura ceste puissance,,,
689,DC0410,1,1,5,a,"Si pour amans la Lune est importune,",Si pour amans la lune est importune,,,
690,DC0410,2,5,9,b,Pour la clerté qu'elle monstre de nuict,Si pour amans la lune est importune,,,
691,DC0410,3,1,5,a,"Quand soubz espoir pourchassent leurs fortune,",Si pour amans la lune est importune,,,
692,DC0410,4,5,9,b,"Mais la clerté de la Lune leurs nuit,",Si pour amans la lune est importune,,,
693,DC0410,5,10,16,c,"Dont sont contrainctz d'attendre la minuict,",Si pour amans la lune est importune,,,
694,DC0410,6,16,20,d,"Que la clerté de leurs yeulx se reconse,",Si pour amans la lune est importune,,,
695,DC0410,7,21,25,d,"Et si n'ont lors de leurs dames responce,",Si pour amans la lune est importune,,,
696,DC0410,8,25,30,d,"Prest sont de choir en grand' desesperance,",Si pour amans la lune est importune,,,
697,DC0410,9,31,35,d,"N'estoit qu'amour c'est arrest leur prononce,",Si pour amans la lune est importune,,,
698,DC0410,10,35,40,d,La fin d'espoir c'est d'avoir jouissance.,Si pour amans la lune est importune,,,
699,DC0411,1,1,5,a,"O vous mes yeulx qui avez incité,",O vous mes yeulx qui avez incité,,,
700,DC0411,2,5,10,b,"Mon triste cœur à telle passion,",O vous mes yeulx qui avez incité,,,
701,DC0411,3,1,5,a,"O hault penser qui m’avez recité,",O vous mes yeulx qui avez incité,,,
702,DC0411,4,5,11,b,"Par tant de fois telle perfection,",O vous mes yeulx qui avez incité,,,
703,DC0411,5,11,15,b,"Ma liberté pour trop d’affection,",O vous mes yeulx qui avez incité,,,
704,DC0411,6,15,21,c,"Changé m’avez ô quelle recompense,",O vous mes yeulx qui avez incité,,,
705,DC0411,7,22,25,b,Dont vient cela que la punition,O vous mes yeulx qui avez incité,,,
706,DC0411,8,25,29,c,"Ne recepvez, d’une si griefve offense.",O vous mes yeulx qui avez incité,,,
707,DC0412,1,1,5,a,"Un gallant le fit et refit,",Un galland le fit et refit,,,
708,DC0412,2,4,8,b,"A une fille en s'esbatant,",Un galland le fit et refit,,,
709,DC0412,3,7,12,a,Et puis apres la satisfit,Un galland le fit et refit,,,
710,DC0412,4,11,14,b,"D'un bel escu dor tout contant,",Un galland le fit et refit,,,
711,DC0412,5,14,20,b,"Ma foy je n'en aurez pas tant,",Un galland le fit et refit,,,
712,DC0412,6,20,24,c,"Ce dict la fille c'est beaucoup,",Un galland le fit et refit,,,
713,DC0412,7,24,27,c,"Serrez cela dict il à coup,",Un galland le fit et refit,,,
714,DC0412,8,27,32,b,"Lors dict la fille, au corps gent,",Un galland le fit et refit,,,
715,DC0412,9,32,36,c,Faictes le donc encore un coup,Un galland le fit et refit,,,
716,DC0412,10,35,45,b,Pour le surplus de vostre argent.,Un galland le fit et refit,,,
717,DC0413,1,1,6,a,"D’un amy fainct je ne me puis deffaire,",D'un amy fainct je ne me puis deffaire,,,
718,DC0413,2,6,11,b,"Sans ma parole, et honneur assentir,",D'un amy fainct je ne me puis deffaire,,,
719,DC0413,3,12,18,b,"Las maintenant je commence à sentir,",D'un amy fainct je ne me puis deffaire,,,
720,DC0413,4,18,23,a,"Quel ennuict c’est complaire à son contraire,",D'un amy fainct je ne me puis deffaire,,,
721,DC0413,5,23,27,a,"Celer le doibz mais je ne m’en puis taire,",D'un amy fainct je ne me puis deffaire,,,
722,DC0413,6,27,33,b,"Car ma douleur ne si veulx consentir,",D'un amy fainct je ne me puis deffaire,,,
723,DC0413,7,33,36,b,"Ha, que bien peu sert un bon repentir,",D'un amy fainct je ne me puis deffaire,,,
724,DC0413,8,36,41,a,Quand on ne peult au surplus satisfaire.,D'un amy fainct je ne me puis deffaire,,,
725,DC0414,1,1,3,a,"Je vouldrois ce gentil clerc estre,",Je voudrois ce gentil clerc estre,,,
726,DC0414,2,3,7,b,"Non pas pour grace qu’en luy treuve,",Je voudrois ce gentil clerc estre,,,
727,DC0414,3,1,3,a,"Ni aussi pour estre ton maistre,",Je voudrois ce gentil clerc estre,,,
728,DC0414,4,3,7,b,"Las du contraire as tant de preuve,",Je voudrois ce gentil clerc estre,,,
729,DC0414,5,8,10,b,Car tu sçais bien que tout mon œuvre.,Je voudrois ce gentil clerc estre,,,
730,DC0414,6,10,13,c,"Ne tend qu’a estre serviteur,",Je voudrois ce gentil clerc estre,,,
731,DC0414,7,13,16,c,Mais je vouldrois changer ma sœur,Je voudrois ce gentil clerc estre,,,
732,DC0414,8,16,19,d,"Mon sort à luy, et ma fortune,",Je voudrois ce gentil clerc estre,,,
733,DC0414,9,20,22,c,"Pour tous les jours avoir c’est heur,",Je voudrois ce gentil clerc estre,,,
734,DC0414,10,22,27,d,Veoir mamye à heure opportune.,Je voudrois ce gentil clerc estre,,,
735,DC0415,1,1,4,,"Amour que tu me fais de mal,",Amour que tu me fais de mal,,,
736,DC0415,2,4,11,a,"Sans me donner quelque allegeance,",Amour que tu me fais de mal,,,
737,DC0415,3,1,4,b,"N’as-tu point pitié du travail,",Amour que tu me fais de mal,,,
738,DC0415,4,4,11,a,"Lequel je prends pour ta plaisance,",Amour que tu me fais de mal,,,
739,DC0415,5,12,15,c,"Pour un jour cent fois t’ay cherché,",Amour que tu me fais de mal,,,
740,DC0415,6,15,19,d,"Comme un bon chien faict à la trace,",Amour que tu me fais de mal,,,
741,DC0415,7,19,23,e,"Mais trop tu faisois du fasché,",Amour que tu me fais de mal,,,
742,DC0415,8,24,28,d,"Quand au pres j’estois de ta face,",Amour que tu me fais de mal,,,
743,DC0415,9,27,31,f,"Dont j’ay congneu subitement,",Amour que tu me fais de mal,,,
744,DC0415,10,31,34,g,"Qu’en toy ne me failloit fier,",Amour que tu me fais de mal,,,
745,DC0415,11,34,38,f,"La raison sera pour comment,",Amour que tu me fais de mal,,,
746,DC0415,12,38,48,g,Que tu es pour vray trop legier.,Amour que tu me fais de mal,,,
747,DC0416,1,1,4,a,Passant melancolie,Passant melancolie,,,
748,DC0416,2,4,7,b,"Un soir apres souper,",Passant melancolie,,,
749,DC0416,3,1,4,a,J’entreprins la folie,Passant melancolie,,,
750,DC0416,4,4,7,b,D’aller tost destouper,Passant melancolie,,,
751,DC0416,5,8,11,a,La fenestre à ma mye,Passant melancolie,,,
752,DC0416,6,11,13,a,Elle estant emdormie,Passant melancolie,,,
753,DC0416,7,14,16,a,"Toute nuë sur son lict,",Passant melancolie,,,
754,DC0416,8,16,19,c,Aupres d’elle me couche,Passant melancolie,,,
755,DC0416,9,19,21,c,Ne me monstrant farouche,Passant melancolie,,,
756,DC0416,10,22,25,d,Feis branler le chalict.,Passant melancolie,,,
757,DC0417,1,1,10,a,"Rossignolet qui chante au verd bois,",Rossignolet qui chante au verd bois,,,
758,DC0417,2,10,15,b,"N’as tu pas veu ma doulce amye,",Rossignolet qui chante au verd bois,,,
759,DC0417,3,15,22,a,"Je l’ay perduë passé trois moys,",Rossignolet qui chante au verd bois,,,
760,DC0417,4,21,26,b,Dont tous les jours il m’en ennuye:,Rossignolet qui chante au verd bois,,,
761,DC0417,5,26,34,c,"Or revenez gente fillette,",Rossignolet qui chante au verd bois,,,
762,DC0417,6,32,38,b,"Car je suis vostre amy,",Rossignolet qui chante au verd bois,,,
763,DC0417,7,38,47,c,Cueiller irons la violette,Rossignolet qui chante au verd bois,,,
764,DC0417,8,47,56,b,Pour passer tout ennuy.,Rossignolet qui chante au verd bois,,,
765,DC0418,1,1,5,a,"Si vous l’avez rendez le moy,",Si vous l'avez rendez le moy,,,
766,DC0418,2,5,7,b,"Gentil garson mon pucellage,",Si vous l'avez rendez le moy,,,
767,DC0418,3,7,11,a,"Ne faites plus vivre en esmoy,",Si vous l'avez rendez le moy,,,
768,DC0418,4,11,19,b,"Mon petit coeur de franc courage,",Si vous l'avez rendez le moy,,,
769,DC0418,5,19,22,b,"Les femmes de nostre village,",Si vous l'avez rendez le moy,,,
770,DC0418,6,21,24,c,"Disent partout je l’ay vendu,",Si vous l'avez rendez le moy,,,
771,DC0418,7,24,28,b,"Ell’ ont menti par leur visage,",Si vous l'avez rendez le moy,,,
772,DC0418,8,28,42,c,Car par ma foy je l’ay perdu.,Si vous l'avez rendez le moy,,,
773,DC0419,1,1,5,a,"Veoir deviser, et converser,","Veoir, deviser et converser",,,
774,DC0419,2,5,8,b,"Masle, et femelle à fois diverse,","Veoir, deviser et converser",,,
775,DC0419,3,1,5,a,"Faict l’homme tout sur con verser,","Veoir, deviser et converser",,,
776,DC0419,4,5,8,b,"Et femme choir a la renverse,","Veoir, deviser et converser",,,
777,DC0419,5,9,13,b,"Sathan y vient à la traverse,","Veoir, deviser et converser",,,
778,DC0419,6,14,17,c,"Tout engluer telle pipée,","Veoir, deviser et converser",,,
779,DC0419,7,18,21,b,"Qui de sa cautelle perverse,","Veoir, deviser et converser",,,
780,DC0419,8,20,25,c,Femme jamais n’est destrapée.,"Veoir, deviser et converser",,,
781,DC0420,1,1,5,a,"Robin vouloit sa femme battre,",Robin vouloit sa femme battre,,,
782,DC0420,2,5,11,b,"Avant que monter à cheval,",Robin vouloit sa femme battre,,,
783,DC0420,3,1,5,a,"Mais en cuidant le bas combatre,",Robin vouloit sa femme battre,,,
784,DC0420,4,5,12,b,Il fit un peu du desloyal,Robin vouloit sa femme battre,,,
785,DC0420,5,12,17,c,"Car il frappa trop rudement,",Robin vouloit sa femme battre,,,
786,DC0420,6,16,19,d,De sorte que de tant picquer,Robin vouloit sa femme battre,,,
787,DC0420,7,18,21,c,"Mourut quasi subitement,",Robin vouloit sa femme battre,,,
788,DC0420,8,21,28,d,Voila que c’est de triqueter.,Robin vouloit sa femme battre,,,
789,DC0421,1,1,3,a,"Une safrette safrettant,",Une safrette safrettant,,,
790,DC0421,2,3,8,b,"A qui fretilloit le derriere,",Une safrette safrettant,,,
791,DC0421,3,8,11,a,Pria celuy qu'elle aimoit tant,Une safrette safrettant,,,
792,DC0421,4,11,16,b,"De lui rabiller sa croupiere,",Une safrette safrettant,,,
793,DC0421,5,16,19,b,"Il luy exaulce sa priere,",Une safrette safrettant,,,
794,DC0421,6,19,24,c,Et vous la trousse gayement,Une safrette safrettant,,,
795,DC0421,7,23,29,b,"Voila dict elle la maniere,",Une safrette safrettant,,,
796,DC0421,8,28,44,c,Ou je prens plus d'esbatement.,Une safrette safrettant,,,
797,DC0422,1,1,4,a,"Le temps vouldroit de soy trop presumer,",Le temps vouldroit de soy trop presumer,,,
798,DC0422,2,4,9,b,"Si l’amytié plus cœleste qu’humaine,",Le temps vouldroit de soy trop presumer,,,
799,DC0422,3,9,14,a,"D’entre noz deux il cuidoit consumer,",Le temps vouldroit de soy trop presumer,,,
800,DC0422,4,13,20,b,"Il n’a povoir que sur chose mondaine,",Le temps vouldroit de soy trop presumer,,,
801,DC0422,5,19,26,c,"Sur l’inconstant, et ce qui souffre peine,",Le temps vouldroit de soy trop presumer,,,
802,DC0422,6,25,30,d,"Qui monstre donc en cela son pouvoir,",Le temps vouldroit de soy trop presumer,,,
803,DC0422,7,30,34,c,"Car amytié constante, et bien certaine,",Le temps vouldroit de soy trop presumer,,,
804,DC0422,8,34,40,d,Souffrir ne peult pour apres fin avoir.,Le temps vouldroit de soy trop presumer,,,
805,DC0423,1,1,3,a,"Si j'ay grand desir de la veoir,",Si j'ay grand desir de la veoir,,,
806,DC0423,2,3,9,b,"Elle n'en a pas moins d'envie,",Si j'ay grand desir de la veoir,,,
807,DC0423,3,1,3,a,"De telle sorte que pourvoir,",Si j'ay grand desir de la veoir,,,
808,DC0423,4,3,10,b,A l'un sans l'aultre on ne peult mye,Si j'ay grand desir de la veoir,,,
809,DC0423,5,11,14,b,"Quand je suis avec c'est sa vie,",Si j'ay grand desir de la veoir,,,
810,DC0423,6,15,18,c,"Et de moy, j'en ay plus grand joye,",Si j'ay grand desir de la veoir,,,
811,DC0423,7,18,22,b,"Par ainsi laise de mamye,",Si j'ay grand desir de la veoir,,,
812,DC0423,8,21,28,c,Faict qu'en contentement je soye.,Si j'ay grand desir de la veoir,,,
813,DC0424,1,1,4,a,"Si me voyez face triste, et dolente,",Si me voyez face triste et dolente,,,
814,DC0424,2,4,9,b,"Un tainct passé ou mort pour dire mieulx,",Si me voyez face triste et dolente,,,
815,DC0424,3,1,4,a,"Dictes pour seur sa maistresse est absente,",Si me voyez face triste et dolente,,,
816,DC0424,4,4,9,b,"Cela le faict ainsi devenir vieulx,",Si me voyez face triste et dolente,,,
817,DC0424,5,10,14,b,"Car ma vie est aux rayons de ses yeulx,",Si me voyez face triste et dolente,,,
818,DC0424,6,14,18,c,"Le seul soleil, qu'en ce monde revere,",Si me voyez face triste et dolente,,,
819,DC0424,7,19,22,b,"Comme des rays d'un phoebus gratieux,",Si me voyez face triste et dolente,,,
820,DC0424,8,22,29,c,Se paissent fleurs durant la prime vere.,Si me voyez face triste et dolente,,,
821,DC0501,1,1,3,a,"Cest à moy qu’en veult ce coqu,",C'est a moy qu'en veult ce coqu,,,
822,DC0501,2,3,6,b,Car seule suis en ce boucage ,C'est a moy qu'en veult ce coqu,,,
823,DC0501,3,6,8,a,"Mais tu en mentz aussi fais tu,",C'est a moy qu'en veult ce coqu,,,
824,DC0501,4,8,11,b,"Meschant oyseau elle est trop sage,",C'est a moy qu'en veult ce coqu,,,
825,DC0501,5,11,13,b,"Un mary ay le corps pour gage,",C'est a moy qu'en veult ce coqu,,,
826,DC0501,6,13,15,c,"Tant qu’il vouldra aupres de soy,",C'est a moy qu'en veult ce coqu,,,
827,DC0501,7,15,17,b,"Suis je subjecte au coquage,",C'est a moy qu'en veult ce coqu,,,
828,DC0501,8,17,23,c,Quand l’esprit est du tout a moy.,C'est a moy qu'en veult ce coqu,,,
829,DC0502,1,1,4,a,"J’ai le fruit desiré,",J'ay le fruit tant désiré,,,
830,DC0502,2,4,8,b,"Dont me doibtz contenter,",J'ay le fruit tant désiré,,,
831,DC0502,3,8,11,c,Je laisse les amours,J'ay le fruit tant désiré,,,
832,DC0502,4,11,15,b,"Aux aultres lamenter,",J'ay le fruit tant désiré,,,
833,DC0502,5,16,18,d,Car mon bien ne pourroit,J'ay le fruit tant désiré,,,
834,DC0502,6,18,21,b,"Pour nul bien augmenter,",J'ay le fruit tant désiré,,,
835,DC0502,7,21,24,e,"Sur aultres n’ay envie,",J'ay le fruit tant désiré,,,
836,DC0502,8,25,29,f,Ainsi sera contente,J'ay le fruit tant désiré,,,
837,DC0502,9,27,31,e,Et heureuse ma vie.,J'ay le fruit tant désiré,,,
838,DC0503,1,1,6,a,"Vous estes un fascheux homme,",Vous estes un fascheux homme,,,
839,DC0503,2,2,9,b,"Vous ne finerez meshuy,",Vous estes un fascheux homme,,,
840,DC0503,3,9,10,c,"Par un matin my levay,",Vous estes un fascheux homme,,,
841,DC0503,4,11,12,c,"Finez vous, ou je crieray,",Vous estes un fascheux homme,,,
842,DC0503,5,13,14,c,"Trouvé bergiere au coeur gay,",Vous estes un fascheux homme,,,
843,DC0503,6,14,15,d,"Voulez vous cesser,",Vous estes un fascheux homme,,,
844,DC0503,7,14,17,c,"Voulez vous finer, ou hay,",Vous estes un fascheux homme,,,
845,DC0503,8,17,23,a,"Vous estes un falcheux homme,",Vous estes un fascheux homme,,,
846,DC0503,9,19,27,b,"Vous ne finerez meshuy,",Vous estes un fascheux homme,,,
847,DC0503,10,25,30,c,"Je la prins, et l’embrassay,",Vous estes un fascheux homme,,,
848,DC0503,11,28,30,c,"Finez vous ou je crieray,",Vous estes un fascheux homme,,,
849,DC0503,12,30,33,c,"Sus l’herbette la jectay,",Vous estes un fascheux homme,,,
850,DC0503,13,32,34,d,"Voulez vous cesser,",Vous estes un fascheux homme,,,
851,DC0503,14,33,35,c,"Voulez vous finer, ou hay,",Vous estes un fascheux homme,,,
852,DC0503,15,35,41,a,"Vous estes un fascheux homme,",Vous estes un fascheux homme,,,
853,DC0503,16,37,47,b,Vous ne finerez meshuy.,Vous estes un fascheux homme,,,
854,DC0504,1,1,3,a,"Quand j’ay esté quinze heures avec vous,",Quand j'ay esté quinze heures avec vous,,,
855,DC0504,2,3,5,b,"A vous baiser du moins cent fois pour heure,",Quand j'ay esté quinze heures avec vous,,,
856,DC0504,3,1,3,a,"Disant adieu ces plaisirs s’envont tous,",Quand j'ay esté quinze heures avec vous,,,
857,DC0504,4,3,5,b,"Et en plus grand appetit je demeure,",Quand j'ay esté quinze heures avec vous,,,
858,DC0504,5,6,8,b,"Lors m’est advis, ou maintenant je meure,",Quand j'ay esté quinze heures avec vous,,,
859,DC0504,6,8,10,c,"Qu’heure sans vous me dure des jours cent,",Quand j'ay esté quinze heures avec vous,,,
860,DC0504,7,11,13,b,"Comme avec vous m’amour je vous asseure,",Quand j'ay esté quinze heures avec vous,,,
861,DC0504,8,13,18,c,Ce jour m’estoit plus qu’heure tost passant.,Quand j'ay esté quinze heures avec vous,,,
862,DC0505,1,1,4,a,"Si vous aviez comme moy faim,",Si vous aviez comme moy faim,,,
863,DC0505,2,3,7,b,"Vous auriez desir de repaistre,",Si vous aviez comme moy faim,,,
864,DC0505,3,1,4,c,"Mais un cheval qui ha prou foin,",Si vous aviez comme moy faim,,,
865,DC0505,4,3,7,b,"Et picotin ne peult mal estre,",Si vous aviez comme moy faim,,,
866,DC0505,5,8,13,b,"Je dis entendez à mon aistre,",Si vous aviez comme moy faim,,,
867,DC0505,6,12,17,d,"Qu’il m’est trop grief de seul veiller,",Si vous aviez comme moy faim,,,
868,DC0505,7,17,21,b,"Qui voit un mort tout vif renaistre,",Si vous aviez comme moy faim,,,
869,DC0505,8,21,26,d,C’est assez pour s’emerveiller.,Si vous aviez comme moy faim,,,
870,DC0506,1,1,12,a,"Madame je vous remercie,",Madame je vous remercie/ De m'avoir esté si rebourse,,,
871,DC0506,2,4,15,b,"De m’avoir esté si rebource,",Madame je vous remercie/ De m'avoir esté si rebourse,,,
872,DC0506,3,15,21,a,"Pensez vous que je m’en soucie,",Madame je vous remercie/ De m'avoir esté si rebourse,,,
873,DC0506,4,20,25,b,"Ne que tant soit peu je m’en courrouce,",Madame je vous remercie/ De m'avoir esté si rebourse,,,
874,DC0506,5,26,29,b,"Nenni non, Pourquoy? pource,",Madame je vous remercie/ De m'avoir esté si rebourse,,,
875,DC0506,6,29,34,c,Car deux escuz m’avez saulvez,Madame je vous remercie/ De m'avoir esté si rebourse,,,
876,DC0506,7,34,37,b,"Qui sont aussi bien dans ma bourse,",Madame je vous remercie/ De m'avoir esté si rebourse,,,
877,DC0506,8,37,43,c,Que dedans le trou que sçavez.,Madame je vous remercie/ De m'avoir esté si rebourse,,,
878,DC0507,1,1,6,a,"Long temps ya innocente pucelle,","Long temps y a, innocente pucelle",,,
879,DC0507,2,5,12,b,"Que je voulu conduire ta nacelle,","Long temps y a, innocente pucelle",,,
880,DC0507,3,12,19,c,"En ce lieu cy sans craindre l’aspre vent,","Long temps y a, innocente pucelle",,,
881,DC0507,4,20,24,c,"Qui au chemin m’a tourmenté souvent,","Long temps y a, innocente pucelle",,,
882,DC0507,5,24,30,d,"Pour en ce lieu novisse, ou clerc me rendre,","Long temps y a, innocente pucelle",,,
883,DC0507,6,29,38,d,Car à plus grand honneur ne veulx pretendre.,"Long temps y a, innocente pucelle",,,
884,DC0508,1,1,6,a,"Musiciens qui chantez à plaisir,",Musiciens qui chantez à plaisir,,,
885,DC0508,2,5,13,b,"Si vous voulez faire valoir la notte,",Musiciens qui chantez à plaisir,,,
886,DC0508,3,14,19,a,"Prenez un ton tout doulx et à loisir,",Musiciens qui chantez à plaisir,,,
887,DC0508,4,18,27,b,"En escoutant ce que le chant denotte,",Musiciens qui chantez à plaisir,,,
888,DC0508,5,27,32,b,"Accordez vous ainsi que la linotte,",Musiciens qui chantez à plaisir,,,
889,DC0508,6,32,39,c,"Qui prent plaisir à son chant gratieux,",Musiciens qui chantez à plaisir,,,
890,DC0508,7,39,44,d,"Soyez expers d’oreilles, et des yeulx,",Musiciens qui chantez à plaisir,,,
891,DC0508,8,43,52,e,Ou aultrement il vauldroit mieulx se taire:,Musiciens qui chantez à plaisir,,,
892,DC0508,9,52,56,d,"Mais je vous pri que vous soyez soigneux,",Musiciens qui chantez à plaisir,,,
893,DC0508,10,55,65,e,De ne chanter si vous n’avez à boire.,Musiciens qui chantez à plaisir,,,
894,DC0509,1,1,6,a,Ca ces beaulx yeulx ça ceste bouche,"Ça ces beaux yeux, ça ceste bouche",,,
895,DC0509,2,5,12,b,"Que je les baise mille fois,","Ça ces beaux yeux, ça ceste bouche",,,
896,DC0509,3,12,15,a,"Ca ce rond tetin que j’y touche,","Ça ces beaux yeux, ça ceste bouche",,,
897,DC0509,4,14,18,b,"Ceste cuisse, et plus hault trois doigtz,","Ça ces beaux yeux, ça ceste bouche",,,
898,DC0509,5,18,23,b,Pourquoi faire je n’oserois,"Ça ces beaux yeux, ça ceste bouche",,,
899,DC0509,6,22,26,c,Ouvrir ma bouche pour le dire:,"Ça ces beaux yeux, ça ceste bouche",,,
900,DC0509,7,26,28,b,"Mais quand je seray aux endroictz,","Ça ces beaux yeux, ça ceste bouche",,,
901,DC0509,8,28,34,c,J’ay plume et encre pour escripre.,"Ça ces beaux yeux, ça ceste bouche",,,
902,DC0510,1,1,4,a,"J’endure tout cest bien raison,","J'endure tout, c'est bien raison",,,
903,DC0510,2,4,10,b,"Puis qu’ainsi plaist à ma mignonne,","J'endure tout, c'est bien raison",,,
904,DC0510,3,10,13,a,"En tout lieu en toute saison,","J'endure tout, c'est bien raison",,,
905,DC0510,4,13,21,b,"A luy complaire je m’addonne,","J'endure tout, c'est bien raison",,,
906,DC0510,5,20,24,b,"Et si aulcun est qui s’estonne,","J'endure tout, c'est bien raison",,,
907,DC0510,6,24,27,c,"Qu’ainsi die a bon escient,","J'endure tout, c'est bien raison",,,
908,DC0510,7,26,30,b,"Aime aultant cest œil luy donne,","J'endure tout, c'est bien raison",,,
909,DC0510,8,30,36,c,Si comme moy n’est patient.,"J'endure tout, c'est bien raison",,,
910,DC0511,1,1,4,a,"Ce disoit une jeune dame,",Ce disoit une jeune dame,,,
911,DC0511,2,3,7,b,"A un vieillard vous my faschez,",Ce disoit une jeune dame,,,
912,DC0511,3,7,13,a,Et vous tuez le corps et l’ame,Ce disoit une jeune dame,,,
913,DC0511,4,13,15,b,"Pour neant a ce que taschez,",Ce disoit une jeune dame,,,
914,DC0511,5,15,19,b,Aller faire ailleurs voz marchez,Ce disoit une jeune dame,,,
915,DC0511,6,19,22,c,"Mal vous siet ceste mignotise,",Ce disoit une jeune dame,,,
916,DC0511,7,22,27,c,"Quand est de moy je suis promise,",Ce disoit une jeune dame,,,
917,DC0511,8,26,31,d,"Pas ny voyez cler a demy,",Ce disoit une jeune dame,,,
918,DC0511,9,31,36,c,Je ny leverai ma chemise,Ce disoit une jeune dame,,,
919,DC0511,10,36,41,d,Cela se garde pour l’ami.,Ce disoit une jeune dame,,,
920,DC0512,1,1,3,a,"Quand je voy ma mignonne rire,",Quand je voy ma mignonne rire,,,
921,DC0512,2,3,5,b,"Je suis creté comme une fraize,",Quand je voy ma mignonne rire,,,
922,DC0512,3,5,7,a,"Mais quand je voy qu’elle souspire,",Quand je voy ma mignonne rire,,,
923,DC0512,4,7,9,b,"Rien ne puis voir lors qui me plaise,",Quand je voy ma mignonne rire,,,
924,DC0512,5,10,11,b,On ha beau faire s’il s’appaise,Quand je voy ma mignonne rire,,,
925,DC0512,6,11,13,c,"Ce pauvre cœur, qui se deult tant,",Quand je voy ma mignonne rire,,,
926,DC0512,7,14,16,b,"Or sus donc mectz toy a ton aise,",Quand je voy ma mignonne rire,,,
927,DC0512,8,16,19,c,Cela seul si me rend content.,Quand je voy ma mignonne rire,,,
928,DC0513,1,1,7,a,"Je ne veulx plus de mon malheur me plaindre,",Je ne veulx plus de mon malheur me plaindre,,,
929,DC0513,2,6,12,b,Ni en l’esprit avoir le souvenir,Je ne veulx plus de mon malheur me plaindre,,,
930,DC0513,3,1,7,a,Du tort qu’avez  bien veulx celer et feindre,Je ne veulx plus de mon malheur me plaindre,,,
931,DC0513,4,6,12,b,"De le sentir, affin qu’a l’advenir",Je ne veulx plus de mon malheur me plaindre,,,
932,DC0513,5,12,15,b,Le regret n’ayt pouvoir de me tenir,Je ne veulx plus de mon malheur me plaindre,,,
933,DC0513,6,15,22,c,"Triste et pensif, le reste de ma vie,",Je ne veulx plus de mon malheur me plaindre,,,
934,DC0513,7,21,26,c,Car j’aime mieulx nostre amitié finie,Je ne veulx plus de mon malheur me plaindre,,,
935,DC0513,8,25,29,d,"Estre par vous et vostre cruaulté,",Je ne veulx plus de mon malheur me plaindre,,,
936,DC0513,9,30,36,c,"Que de tenir tousjours en agonie,",Je ne veulx plus de mon malheur me plaindre,,,
937,DC0513,10,35,41,d,Serve à rigueur ma ferme loyaulté.,Je ne veulx plus de mon malheur me plaindre,,,
938,DC0514,1,1,7,a,"Puis que tu veulx mettre fin à ta plaincte,",Puisque tu veulx mettre fin à ta plaincte,,,
